#/Users/anjalisarawgi/anaconda3/envs/gnn_parsing/bin/verilog2graph tum-eisec-benchmarks-main/netlist/des_latest/verilog/osu035/des3.v --output_format txt --do-not-zip -o adjlist/des_latest/osu035/des3 -l lib/osu035_stdcells.lib
# GMT Tue Nov 18 14:07:08 2025
# 
INPUT_\desIn[0]  INVX1_31
INPUT_\key2[35]  AOI22X1_162
INPUT_\key2[36]  AOI22X1_159
INPUT_\key2[37]  AOI22X1_184
INPUT_\key2[38]  AOI22X1_182
INPUT_\key2[39]  AOI22X1_209
INPUT_\key2[40]  AOI22X1_188
INPUT_\key2[41]  AOI22X1_192
INPUT_\key2[42]  AOI22X1_178
INPUT_\key2[43]  AOI22X1_176
INPUT_\key2[44]  AOI22X1_158
INPUT_\key2[45]  AOI22X1_166
INPUT_\key2[46]  AOI22X1_197
INPUT_\key2[47]  AOI22X1_202
INPUT_\key2[48]  AOI22X1_207
INPUT_\key2[49]  AOI22X1_165
INPUT_\key2[50]  AOI22X1_161
INPUT_\key2[51]  AOI22X1_177
INPUT_\key2[52]  AOI22X1_174
INPUT_\key2[53]  AOI22X1_208
INPUT_\key2[54]  AOI22X1_201
INPUT_\key2[55]  AOI22X1_194
INPUT_\key3[0]  NAND3X1_325
INPUT_\key3[1]  NAND3X1_401
INPUT_\key3[2]  NAND3X1_451
INPUT_\key3[3]  NAND3X1_868
INPUT_\key3[4]  NAND3X1_885
INPUT_\key3[5]  NAND3X1_929
INPUT_\key3[6]  NAND3X1_851
INPUT_\key3[7]  NAND3X1_390
INPUT_\key3[8]  NAND3X1_339
INPUT_\key3[9]  NAND3X1_358
INPUT_\key3[10]  NAND3X1_958
INPUT_\key3[11]  NAND3X1_981
INPUT_\key3[12]  NAND3X1_871
INPUT_\key3[13]  NAND3X1_876
INPUT_\key3[14]  NAND3X1_322
INPUT_\key3[15]  NAND3X1_395
INPUT_\key3[16]  NAND3X1_356
INPUT_\key3[17]  NAND3X1_856
INPUT_\key3[18]  NAND3X1_839
INPUT_\key3[19]  NAND3X1_932
INPUT_\key3[20]  NAND3X1_878
INPUT_\key3[21]  NAND3X1_347
INPUT_\key3[22]  NAND3X1_344
INPUT_\key3[23]  NAND3X1_393
INPUT_\key3[24]  NAND3X1_921
INPUT_\key3[25]  NAND3X1_951
INPUT_\key3[26]  NAND3X1_832
INPUT_\key3[27]  NAND3X1_849
INPUT_\key3[28]  NAND3X1_349
INPUT_\key3[29]  NAND3X1_374
INPUT_\key3[30]  NAND3X1_308
INPUT_\key3[31]  NAND3X1_342
INPUT_\key3[32]  NAND3X1_834
INPUT_\key3[33]  NAND3X1_915
INPUT_\key3[34]  NAND3X1_974
INPUT_\key3[35]  NAND3X1_320
INPUT_\key3[36]  NAND3X1_305
INPUT_\key3[37]  NAND3X1_403
INPUT_\key3[38]  NAND3X1_398
INPUT_\key3[39]  NAND3X1_943
INPUT_\key3[40]  NAND3X1_837
INPUT_\key3[41]  NAND3X1_854
INPUT_\key3[42]  NAND3X1_387
INPUT_\key3[43]  NAND3X1_377
INPUT_\key3[44]  NAND3X1_303
INPUT_\key3[45]  NAND3X1_337
INPUT_\key3[46]  NAND3X1_873
INPUT_\key3[47]  NAND3X1_905
INPUT_\key3[48]  NAND3X1_935
INPUT_\key3[49]  NAND3X1_327
INPUT_\key3[50]  NAND3X1_310
INPUT_\key3[51]  NAND3X1_385
INPUT_\key3[52]  NAND3X1_371
INPUT_\key3[53]  NAND3X1_940
INPUT_\key3[54]  NAND3X1_887
INPUT_\key3[55]  NAND3X1_866
INPUT_decrypt XNOR2X1_1 NAND3X1_302 OAI21X1_130 NOR2X1_350 AND2X2_105 XOR2X1_1
INPUT_\roundSel[0]  NOR2X1_1 NAND2X1_318 INVX1_236 NAND2X1_323
INPUT_\roundSel[1]  NOR2X1_2 INVX1_235 NAND2X1_319 NAND2X1_323
INPUT_\roundSel[2]  NOR2X1_2 NAND2X1_317 INVX1_237 NAND2X1_322
INPUT_\roundSel[3]  NOR2X1_1 INVX1_234 NAND2X1_320 NAND2X1_322
INPUT_\roundSel[4]  NOR2X1_3 OR2X2_1 NAND2X1_2 AND2X2_1 NAND2X1_316 OR2X2_22 INVX1_233
INPUT_\roundSel[5]  NOR2X1_3 OR2X2_1 NAND2X1_2 AND2X2_1 INVX1_231 OR2X2_22 NAND3X1_302 NOR2X1_350 AND2X2_105
INPUT_clk DFFPOSX1_1 DFFPOSX1_2 DFFPOSX1_3 DFFPOSX1_4 DFFPOSX1_5 DFFPOSX1_6 DFFPOSX1_7 DFFPOSX1_8 DFFPOSX1_9 DFFPOSX1_10 DFFPOSX1_11 DFFPOSX1_12 DFFPOSX1_13 DFFPOSX1_14 DFFPOSX1_15 DFFPOSX1_16 DFFPOSX1_17 DFFPOSX1_18 DFFPOSX1_19 DFFPOSX1_20 DFFPOSX1_21 DFFPOSX1_22 DFFPOSX1_23 DFFPOSX1_24 DFFPOSX1_25 DFFPOSX1_26 DFFPOSX1_27 DFFPOSX1_28 DFFPOSX1_29 DFFPOSX1_30 DFFPOSX1_31 DFFPOSX1_32 DFFPOSX1_33 DFFPOSX1_34 DFFPOSX1_35 DFFPOSX1_36 DFFPOSX1_37 DFFPOSX1_38 DFFPOSX1_39 DFFPOSX1_40 DFFPOSX1_41 DFFPOSX1_42 DFFPOSX1_43 DFFPOSX1_44 DFFPOSX1_45 DFFPOSX1_46 DFFPOSX1_47 DFFPOSX1_48 DFFPOSX1_49 DFFPOSX1_50 DFFPOSX1_51 DFFPOSX1_52 DFFPOSX1_53 DFFPOSX1_54 DFFPOSX1_55 DFFPOSX1_56 DFFPOSX1_57 DFFPOSX1_58 DFFPOSX1_59 DFFPOSX1_60 DFFPOSX1_61 DFFPOSX1_62 DFFPOSX1_63 DFFPOSX1_64
OUTPUT_\desOut[0] 
OUTPUT_\desOut[1] 
OUTPUT_\desOut[2] 
OUTPUT_\desOut[3] 
OUTPUT_\desOut[4] 
OUTPUT_\desOut[5] 
OUTPUT_\desOut[6] 
OUTPUT_\desOut[7] 
OUTPUT_\desOut[8] 
OUTPUT_\desOut[9] 
OUTPUT_\desOut[10] 
OUTPUT_\desOut[11] 
OUTPUT_\desOut[12] 
OUTPUT_\desOut[13] 
OUTPUT_\desOut[14] 
OUTPUT_\desOut[15] 
OUTPUT_\desOut[16] 
OUTPUT_\desOut[17] 
OUTPUT_\desOut[18] 
OUTPUT_\desOut[19] 
OUTPUT_\desOut[20] 
OUTPUT_\desOut[21] 
OUTPUT_\desOut[22] 
OUTPUT_\desOut[23] 
OUTPUT_\desOut[24] 
OUTPUT_\desOut[25] 
OUTPUT_\desOut[26] 
OUTPUT_\desOut[27] 
OUTPUT_\desOut[28] 
OUTPUT_\desOut[29] 
OUTPUT_\desOut[30] 
OUTPUT_\desOut[31] 
OUTPUT_\desOut[32] 
OUTPUT_\desOut[33] 
OUTPUT_\desOut[34] 
OUTPUT_\desOut[35] 
OUTPUT_\desOut[36] 
OUTPUT_\desOut[37] 
OUTPUT_\desOut[38] 
OUTPUT_\desOut[39] 
OUTPUT_\desOut[40] 
OUTPUT_\desOut[41] 
OUTPUT_\desOut[42] 
OUTPUT_\desOut[43] 
OUTPUT_\desOut[44] 
OUTPUT_\desOut[45] 
OUTPUT_\desOut[46] 
OUTPUT_\desOut[47] 
OUTPUT_\desOut[48] 
OUTPUT_\desOut[49] 
OUTPUT_\desOut[50] 
OUTPUT_\desOut[51] 
OUTPUT_\desOut[52] 
OUTPUT_\desOut[53] 
OUTPUT_\desOut[54] 
OUTPUT_\desOut[55] 
OUTPUT_\desOut[56] 
OUTPUT_\desOut[57] 
OUTPUT_\desOut[58] 
OUTPUT_\desOut[59] 
OUTPUT_\desOut[60] 
OUTPUT_\desOut[61] 
OUTPUT_\desOut[62] 
OUTPUT_\desOut[63] 
NOR2X1_1 NAND3X1_1 NAND2X1_1 AND2X2_2
NOR2X1_2 NAND3X1_1 NAND2X1_1 AND2X2_2
NOR2X1_3 NAND3X1_1 NAND3X1_3 NOR2X1_5 NAND3X1_7 NAND3X1_11 NAND3X1_15 NAND3X1_19 NAND3X1_22 NAND3X1_26 NAND3X1_30 NAND3X1_35 NAND3X1_39 NAND3X1_43 NAND3X1_46 NAND3X1_51 NAND3X1_55 NAND3X1_59 NAND3X1_63 NAND3X1_67 NAND3X1_71 NAND3X1_75 NAND3X1_79 NAND3X1_83 NAND3X1_87 NAND3X1_91 NAND3X1_94 NAND3X1_99 NAND3X1_103 NAND3X1_107 NAND3X1_111 NAND3X1_115 NAND3X1_119 NAND3X1_123 NAND3X1_126
NAND3X1_1 INVX1_1
INVX1_1 AOI22X1_1 OAI21X1_2 AOI22X1_2 OAI21X1_4 AOI22X1_3 OAI21X1_6 AOI22X1_4 OAI21X1_8 AOI22X1_5 OAI21X1_10 AOI22X1_6 OAI21X1_12 AOI22X1_7 OAI21X1_14 AOI22X1_8 OAI21X1_16 AOI22X1_9 OAI21X1_18 AOI22X1_10 OAI21X1_20 AOI22X1_11 OAI21X1_22 AOI22X1_12 OAI21X1_24 AOI22X1_13 OAI21X1_26 AOI22X1_14 OAI21X1_28 AOI22X1_15 OAI21X1_30 AOI22X1_16 OAI21X1_32 AOI22X1_17 OAI21X1_34 AOI22X1_18 OAI21X1_36 AOI22X1_19 OAI21X1_38 AOI22X1_20 OAI21X1_40 AOI22X1_21 OAI21X1_42 AOI22X1_22 OAI21X1_44 AOI22X1_23 OAI21X1_46 AOI22X1_24 OAI21X1_48 AOI22X1_25 OAI21X1_50 AOI22X1_26 OAI21X1_52 AOI22X1_27 OAI21X1_54 AOI22X1_28 OAI21X1_56 AOI22X1_29 OAI21X1_58 AOI22X1_30 OAI21X1_60 AOI22X1_31 OAI21X1_62 AOI22X1_32 OAI21X1_64 AOI22X1_33 AOI22X1_34 AOI22X1_35 AOI22X1_36 AOI22X1_37 AOI22X1_38 AOI22X1_39 AOI22X1_40 AOI22X1_41 AOI22X1_42 AOI22X1_43 AOI22X1_44 AOI22X1_45 AOI22X1_46 AOI22X1_47 AOI22X1_48 AOI22X1_49 AOI22X1_50 AOI22X1_51 AOI22X1_52 AOI22X1_53 AOI22X1_54 AOI22X1_55 AOI22X1_56 AOI22X1_57 AOI22X1_58 AOI22X1_59 AOI22X1_60 AOI22X1_61 AOI22X1_62 AOI22X1_63 AOI22X1_64
NAND2X1_1 OAI21X1_1 NOR2X1_4 OAI21X1_3 OAI21X1_5 OAI21X1_7 OAI21X1_9 OAI21X1_11 OAI21X1_13 OAI21X1_15 OAI21X1_17 OAI21X1_19 OAI21X1_21 OAI21X1_23 OAI21X1_25 OAI21X1_27 OAI21X1_29 OAI21X1_31 OAI21X1_33 OAI21X1_35 OAI21X1_37 OAI21X1_39 OAI21X1_41 OAI21X1_43 OAI21X1_45 OAI21X1_47 OAI21X1_49 OAI21X1_51 OAI21X1_53 OAI21X1_55 OAI21X1_57 OAI21X1_59 OAI21X1_61 OAI21X1_63 OAI21X1_65 OAI21X1_66 OAI21X1_67 OAI21X1_68 OAI21X1_69 OAI21X1_70 OAI21X1_71 OAI21X1_72 OAI21X1_73 OAI21X1_74 OAI21X1_75 OAI21X1_76 OAI21X1_77 OAI21X1_78 OAI21X1_79 OAI21X1_80 OAI21X1_81 OAI21X1_82 OAI21X1_83 OAI21X1_84 OAI21X1_85 OAI21X1_86 OAI21X1_87 OAI21X1_88 OAI21X1_89 OAI21X1_90 OAI21X1_91 OAI21X1_92 OAI21X1_93 OAI21X1_94 OAI21X1_95 OAI21X1_96
OR2X2_1 NAND2X1_3
NAND2X1_2 NAND2X1_3
NAND2X1_3 OAI21X1_1 NOR2X1_4 OAI21X1_3 OAI21X1_5 OAI21X1_7 OAI21X1_9 OAI21X1_11 OAI21X1_13 OAI21X1_15 OAI21X1_17 OAI21X1_19 OAI21X1_21 OAI21X1_23 OAI21X1_25 OAI21X1_27 OAI21X1_29 OAI21X1_31 OAI21X1_33 OAI21X1_35 OAI21X1_37 OAI21X1_39 OAI21X1_41 OAI21X1_43 OAI21X1_45 OAI21X1_47 OAI21X1_49 OAI21X1_51 OAI21X1_53 OAI21X1_55 OAI21X1_57 OAI21X1_59 OAI21X1_61 OAI21X1_63
OAI21X1_1 OAI21X1_2
NOR2X1_4 AOI22X1_1 AOI22X1_2 AOI22X1_3 AOI22X1_4 AOI22X1_5 AOI22X1_6 AOI22X1_7 AOI22X1_8 AOI22X1_9 AOI22X1_10 AOI22X1_11 AOI22X1_12 AOI22X1_13 AOI22X1_14 AOI22X1_15 AOI22X1_16 AOI22X1_17 AOI22X1_18 AOI22X1_19 AOI22X1_20 AOI22X1_21 AOI22X1_22 AOI22X1_23 AOI22X1_24 AOI22X1_25 AOI22X1_26 AOI22X1_27 AOI22X1_28 AOI22X1_29 AOI22X1_30 AOI22X1_31 AOI22X1_32 AOI22X1_33 AOI22X1_34 AOI22X1_35 AOI22X1_36 AOI22X1_37 AOI22X1_38 AOI22X1_39 AOI22X1_40 AOI22X1_41 AOI22X1_42 AOI22X1_43 AOI22X1_44 AOI22X1_45 AOI22X1_46 AOI22X1_47 AOI22X1_48 AOI22X1_49 AOI22X1_50 AOI22X1_51 AOI22X1_52 AOI22X1_53 AOI22X1_54 AOI22X1_55 AOI22X1_56 AOI22X1_57 AOI22X1_58 AOI22X1_59 AOI22X1_60 AOI22X1_61 AOI22X1_62 AOI22X1_63 AOI22X1_64
AOI22X1_1 OAI21X1_2
OAI21X1_2 OUTPUT_\desOut[57]  DFFPOSX1_12 NOR2X1_8 AND2X2_4 NOR2X1_100 AND2X2_50
OAI21X1_3 OAI21X1_4
AOI22X1_2 OAI21X1_4
OAI21X1_4 OUTPUT_\desOut[49]  DFFPOSX1_13 NOR2X1_10 AND2X2_5
OAI21X1_5 OAI21X1_6
AOI22X1_3 OAI21X1_6
OAI21X1_6 OUTPUT_\desOut[41]  DFFPOSX1_14 NOR2X1_12 AND2X2_6
OAI21X1_7 OAI21X1_8
AOI22X1_4 OAI21X1_8
OAI21X1_8 OUTPUT_\desOut[33]  DFFPOSX1_15 NOR2X1_14 AND2X2_7 NOR2X1_18 AND2X2_9
OAI21X1_9 OAI21X1_10
AOI22X1_5 OAI21X1_10
OAI21X1_10 OUTPUT_\desOut[25]  DFFPOSX1_16 NOR2X1_16 AND2X2_8 NOR2X1_20 AND2X2_10
OAI21X1_11 OAI21X1_12
AOI22X1_6 OAI21X1_12
OAI21X1_12 OUTPUT_\desOut[17]  DFFPOSX1_17 NOR2X1_22 AND2X2_11
OAI21X1_13 OAI21X1_14
AOI22X1_7 OAI21X1_14
OAI21X1_14 OUTPUT_\desOut[9]  DFFPOSX1_18 NOR2X1_24 AND2X2_12
OAI21X1_15 OAI21X1_16
AOI22X1_8 OAI21X1_16
OAI21X1_16 OUTPUT_\desOut[1]  DFFPOSX1_19 NOR2X1_26 AND2X2_13 NOR2X1_30 AND2X2_15
OAI21X1_17 OAI21X1_18
AOI22X1_9 OAI21X1_18
OAI21X1_18 OUTPUT_\desOut[59]  DFFPOSX1_20 NOR2X1_28 AND2X2_14 NOR2X1_32 AND2X2_16
OAI21X1_19 OAI21X1_20
AOI22X1_10 OAI21X1_20
OAI21X1_20 OUTPUT_\desOut[51]  DFFPOSX1_21 NOR2X1_34 AND2X2_17
OAI21X1_21 OAI21X1_22
AOI22X1_11 OAI21X1_22
OAI21X1_22 OUTPUT_\desOut[43]  DFFPOSX1_22 NOR2X1_36 AND2X2_18
OAI21X1_23 OAI21X1_24
AOI22X1_12 OAI21X1_24
OAI21X1_24 OUTPUT_\desOut[35]  DFFPOSX1_23 NOR2X1_38 AND2X2_19 NOR2X1_42 AND2X2_21
OAI21X1_25 OAI21X1_26
AOI22X1_13 OAI21X1_26
OAI21X1_26 OUTPUT_\desOut[27]  DFFPOSX1_24 NOR2X1_40 AND2X2_20 NOR2X1_44 AND2X2_22
OAI21X1_27 OAI21X1_28
AOI22X1_14 OAI21X1_28
OAI21X1_28 OUTPUT_\desOut[19]  DFFPOSX1_25 NOR2X1_46 AND2X2_23
OAI21X1_29 OAI21X1_30
AOI22X1_15 OAI21X1_30
OAI21X1_30 OUTPUT_\desOut[11]  DFFPOSX1_26 NOR2X1_48 AND2X2_24
OAI21X1_31 OAI21X1_32
AOI22X1_16 OAI21X1_32
OAI21X1_32 OUTPUT_\desOut[3]  DFFPOSX1_27 NOR2X1_50 AND2X2_25 NOR2X1_54 AND2X2_27
OAI21X1_33 OAI21X1_34
AOI22X1_17 OAI21X1_34
OAI21X1_34 OUTPUT_\desOut[61]  DFFPOSX1_28 NOR2X1_52 AND2X2_26 NOR2X1_56 AND2X2_28
OAI21X1_35 OAI21X1_36
AOI22X1_18 OAI21X1_36
OAI21X1_36 OUTPUT_\desOut[53]  DFFPOSX1_29 NOR2X1_58 AND2X2_29
OAI21X1_37 OAI21X1_38
AOI22X1_19 OAI21X1_38
OAI21X1_38 OUTPUT_\desOut[45]  DFFPOSX1_30 NOR2X1_60 AND2X2_30
OAI21X1_39 OAI21X1_40
AOI22X1_20 OAI21X1_40
OAI21X1_40 OUTPUT_\desOut[37]  DFFPOSX1_31 NOR2X1_62 AND2X2_31 NOR2X1_66 AND2X2_33
OAI21X1_41 OAI21X1_42
AOI22X1_21 OAI21X1_42
OAI21X1_42 OUTPUT_\desOut[29]  DFFPOSX1_32 NOR2X1_64 AND2X2_32 NOR2X1_68 AND2X2_34
OAI21X1_43 OAI21X1_44
AOI22X1_22 OAI21X1_44
OAI21X1_44 OUTPUT_\desOut[21]  DFFPOSX1_33 NOR2X1_70 AND2X2_35
OAI21X1_45 OAI21X1_46
AOI22X1_23 OAI21X1_46
OAI21X1_46 OUTPUT_\desOut[13]  DFFPOSX1_34 NOR2X1_72 AND2X2_36
OAI21X1_47 OAI21X1_48
AOI22X1_24 OAI21X1_48
OAI21X1_48 OUTPUT_\desOut[5]  DFFPOSX1_35 NOR2X1_74 AND2X2_37 NOR2X1_78 AND2X2_39
OAI21X1_49 OAI21X1_50
AOI22X1_25 OAI21X1_50
OAI21X1_50 OUTPUT_\desOut[63]  DFFPOSX1_36 NOR2X1_76 AND2X2_38 NOR2X1_80 AND2X2_40
OAI21X1_51 OAI21X1_52
AOI22X1_26 OAI21X1_52
OAI21X1_52 OUTPUT_\desOut[55]  DFFPOSX1_37 NOR2X1_82 AND2X2_41
OAI21X1_53 OAI21X1_54
AOI22X1_27 OAI21X1_54
OAI21X1_54 OUTPUT_\desOut[47]  DFFPOSX1_38 NOR2X1_84 AND2X2_42
OAI21X1_55 OAI21X1_56
AOI22X1_28 OAI21X1_56
OAI21X1_56 OUTPUT_\desOut[39]  DFFPOSX1_39 NOR2X1_86 AND2X2_43 NOR2X1_90 AND2X2_45
OAI21X1_57 OAI21X1_58
AOI22X1_29 OAI21X1_58
OAI21X1_58 OUTPUT_\desOut[31]  DFFPOSX1_40 NOR2X1_88 AND2X2_44 NOR2X1_92 AND2X2_46
OAI21X1_59 OAI21X1_60
AOI22X1_30 OAI21X1_60
OAI21X1_60 OUTPUT_\desOut[23]  DFFPOSX1_41 NOR2X1_94 AND2X2_47
OAI21X1_61 OAI21X1_62
AOI22X1_31 OAI21X1_62
OAI21X1_62 OUTPUT_\desOut[15]  DFFPOSX1_42 NOR2X1_96 AND2X2_48
OAI21X1_63 OAI21X1_64
AOI22X1_32 OAI21X1_64
OAI21X1_64 OUTPUT_\desOut[7]  DFFPOSX1_43 NOR2X1_6 AND2X2_3 NOR2X1_98 AND2X2_49
INVX1_2 NAND3X1_2
INVX1_3 OAI21X1_65
AND2X2_1 OAI21X1_65 NOR2X1_5 OAI21X1_66 OAI21X1_67 OAI21X1_68 OAI21X1_69 OAI21X1_70 OAI21X1_71 OAI21X1_72 OAI21X1_73 OAI21X1_74 OAI21X1_75 OAI21X1_76 OAI21X1_77 OAI21X1_78 OAI21X1_79 OAI21X1_80 OAI21X1_81 OAI21X1_82 OAI21X1_83 OAI21X1_84 OAI21X1_85 OAI21X1_86 OAI21X1_87 OAI21X1_88 OAI21X1_89 OAI21X1_90 OAI21X1_91 OAI21X1_92 OAI21X1_93 OAI21X1_94 OAI21X1_95 OAI21X1_96
OAI21X1_65 NAND3X1_2 NAND3X1_5
INVX1_4 AOI22X1_33 NAND3X1_4
INVX1_5 AOI22X1_33 NAND3X1_3
AOI22X1_33 NAND3X1_2
NAND3X1_2 NAND2X1_5
