#/Users/anjalisarawgi/anaconda3/envs/gnn_parsing/bin/verilog2graph tum-eisec-benchmarks-main/netlist/gost28147-89_latest/verilog/osu035/gost89_ecb_decrypt.v --output_format txt --do-not-zip -o adjlist/gost28147-89_latest/osu035/gost89_ecb_decrypt -l lib/osu035_stdcells.lib
# GMT Tue Nov 18 12:13:16 2025
# 
INPUT_clk DFFPOSX1_1 DFFPOSX1_2 DFFPOSX1_3 DFFPOSX1_4 DFFPOSX1_5 DFFPOSX1_6 DFFPOSX1_7 DFFPOSX1_8 DFFPOSX1_9 DFFPOSX1_10 DFFPOSX1_11 DFFPOSX1_12 DFFPOSX1_13 DFFPOSX1_14 DFFPOSX1_15 DFFPOSX1_16 DFFPOSX1_17 DFFPOSX1_18 DFFPOSX1_19 DFFPOSX1_20 DFFPOSX1_21 DFFPOSX1_22 DFFPOSX1_23 DFFPOSX1_24 DFFPOSX1_25 DFFPOSX1_26 DFFPOSX1_27 DFFPOSX1_28 DFFPOSX1_29 DFFPOSX1_30 DFFPOSX1_31 DFFPOSX1_32 DFFPOSX1_33 DFFPOSX1_34 DFFPOSX1_35 DFFPOSX1_36 DFFPOSX1_37 DFFPOSX1_38 DFFPOSX1_39 DFFPOSX1_40 DFFPOSX1_41 DFFPOSX1_42 DFFPOSX1_43 DFFPOSX1_44 DFFPOSX1_45 DFFPOSX1_46 DFFPOSX1_47 DFFPOSX1_48 DFFPOSX1_49 DFFPOSX1_50 DFFPOSX1_51 DFFPOSX1_52 DFFPOSX1_53 DFFPOSX1_54 DFFPOSX1_55 DFFPOSX1_56 DFFPOSX1_57 DFFPOSX1_58 DFFPOSX1_59 DFFPOSX1_60 DFFPOSX1_61 DFFPOSX1_62 DFFPOSX1_63 DFFPOSX1_64 DFFPOSX1_65 DFFPOSX1_66 DFFPOSX1_67 DFFPOSX1_68 DFFPOSX1_69 DFFPOSX1_70 DFFPOSX1_71 DFFPOSX1_72 DFFPOSX1_73 DFFPOSX1_74 DFFPOSX1_75 DFFPOSX1_76 DFFPOSX1_77 DFFPOSX1_78 DFFPOSX1_79 DFFPOSX1_80 DFFPOSX1_81 DFFPOSX1_82 DFFPOSX1_83 DFFPOSX1_84 DFFPOSX1_85 DFFPOSX1_86 DFFPOSX1_87 DFFPOSX1_88 DFFPOSX1_89 DFFPOSX1_90 DFFPOSX1_91 DFFPOSX1_92 DFFPOSX1_93 DFFPOSX1_94 DFFPOSX1_95 DFFPOSX1_96 DFFPOSX1_97 DFFPOSX1_98 DFFPOSX1_99 DFFPOSX1_100 DFFPOSX1_101 DFFPOSX1_102 DFFPOSX1_103 DFFPOSX1_104 DFFPOSX1_105 DFFPOSX1_106 DFFPOSX1_107 DFFPOSX1_108 DFFPOSX1_109 DFFPOSX1_110 DFFPOSX1_111 DFFPOSX1_112 DFFPOSX1_113 DFFPOSX1_114 DFFPOSX1_115 DFFPOSX1_116 DFFPOSX1_117 DFFPOSX1_118 DFFPOSX1_119 DFFPOSX1_120 DFFPOSX1_121 DFFPOSX1_122 DFFPOSX1_123 DFFPOSX1_124 DFFPOSX1_125 DFFPOSX1_126 DFFPOSX1_127 DFFPOSX1_128 DFFPOSX1_129 DFFPOSX1_130 DFFPOSX1_131 DFFPOSX1_132 DFFPOSX1_133 DFFPOSX1_134 DFFPOSX1_135 DFFPOSX1_136 DFFPOSX1_137 DFFPOSX1_138 DFFPOSX1_139 DFFPOSX1_140 DFFPOSX1_141 DFFPOSX1_142 DFFPOSX1_143 DFFPOSX1_144 DFFPOSX1_145 DFFPOSX1_146 DFFPOSX1_147 DFFPOSX1_148 DFFPOSX1_149 DFFPOSX1_150 DFFPOSX1_151 DFFPOSX1_152 DFFPOSX1_153 DFFPOSX1_154 DFFPOSX1_155 DFFPOSX1_156 DFFPOSX1_157 DFFPOSX1_158 DFFPOSX1_159 DFFPOSX1_160 DFFPOSX1_161 DFFPOSX1_162 DFFPOSX1_163 DFFPOSX1_164 DFFPOSX1_165 DFFPOSX1_166 DFFPOSX1_167
INPUT_reset NOR2X1_2 NOR2X1_75 INVX1_73
INPUT_load_data NOR2X1_2 MUX2X1_1 MUX2X1_2 MUX2X1_3 MUX2X1_4 MUX2X1_5 MUX2X1_6 MUX2X1_7 MUX2X1_8 MUX2X1_9 MUX2X1_10 MUX2X1_11 MUX2X1_12 MUX2X1_13 MUX2X1_14 MUX2X1_15 MUX2X1_16 MUX2X1_17 MUX2X1_18 MUX2X1_19 MUX2X1_20 MUX2X1_21 MUX2X1_22 MUX2X1_23 MUX2X1_24 MUX2X1_25 MUX2X1_26 MUX2X1_27 MUX2X1_28 MUX2X1_29 MUX2X1_30 MUX2X1_31 MUX2X1_32 MUX2X1_33 MUX2X1_34 MUX2X1_35 MUX2X1_36 MUX2X1_37 MUX2X1_38 MUX2X1_39 MUX2X1_40 MUX2X1_41 MUX2X1_42 MUX2X1_43 MUX2X1_44 MUX2X1_45 MUX2X1_46 MUX2X1_47 MUX2X1_48 MUX2X1_49 MUX2X1_50 MUX2X1_51 MUX2X1_52 MUX2X1_53 MUX2X1_54 MUX2X1_55 MUX2X1_56 MUX2X1_57 MUX2X1_58 MUX2X1_59 MUX2X1_60 MUX2X1_61 MUX2X1_62 MUX2X1_63 MUX2X1_64 AOI21X1_68 AOI21X1_69
INPUT_\sbox[0]  NAND3X1_330
INPUT_\sbox[127]  NAND3X1_320
INPUT_\sbox[128]  NAND3X1_258
INPUT_\sbox[129]  NAND3X1_267
INPUT_\sbox[130]  NAND3X1_276
INPUT_\sbox[131]  NAND3X1_285
INPUT_\sbox[132]  INVX1_397
INPUT_\sbox[133]  INVX1_403
INPUT_\sbox[134]  INVX1_409
INPUT_\sbox[135]  INVX1_415
INPUT_\sbox[136]  NAND2X1_240
INPUT_\sbox[137]  NAND2X1_244
INPUT_\sbox[138]  NAND2X1_246
INPUT_\sbox[139]  NAND2X1_248
INPUT_\sbox[140]  AOI22X1_59
INPUT_\sbox[141]  AOI22X1_60
INPUT_\sbox[142]  AOI22X1_61
INPUT_\sbox[143]  AOI22X1_62
INPUT_\sbox[144]  AOI22X1_59
INPUT_\sbox[145]  AOI22X1_60
INPUT_\sbox[146]  AOI22X1_61
INPUT_\sbox[147]  AOI22X1_62
INPUT_\sbox[148]  INVX1_393
INPUT_\sbox[149]  INVX1_399
INPUT_\sbox[150]  INVX1_405
INPUT_\sbox[151]  INVX1_411
INPUT_\sbox[152]  INVX1_394
INPUT_\sbox[153]  INVX1_400
INPUT_\sbox[154]  INVX1_406
INPUT_\sbox[155]  INVX1_412
INPUT_\sbox[156]  NAND3X1_260
INPUT_\sbox[157]  NAND3X1_269
INPUT_\sbox[158]  NAND3X1_278
INPUT_\sbox[159]  NAND3X1_287
INPUT_\sbox[160]  NAND2X1_243
INPUT_\sbox[161]  NAND2X1_245
INPUT_\sbox[162]  NAND2X1_247
INPUT_\sbox[163]  NAND2X1_249
INPUT_\sbox[164]  INVX1_388
INPUT_\sbox[165]  INVX1_398
INPUT_\sbox[166]  INVX1_404
INPUT_\sbox[167]  INVX1_410
INPUT_\sbox[168]  NAND3X1_254
INPUT_\sbox[169]  NAND3X1_263
INPUT_\sbox[170]  NAND3X1_272
INPUT_\sbox[171]  NAND3X1_281
INPUT_\sbox[172]  NAND3X1_256
INPUT_\sbox[173]  NAND3X1_265
INPUT_\sbox[174]  NAND3X1_274
INPUT_\sbox[175]  NAND3X1_283
INPUT_\sbox[176]  NAND3X1_255
INPUT_\sbox[177]  NAND3X1_264
INPUT_\sbox[178]  NAND3X1_273
INPUT_\sbox[179]  NAND3X1_282
INPUT_\sbox[180]  INVX1_395
INPUT_\sbox[181]  INVX1_401
INPUT_\sbox[182]  INVX1_407
INPUT_\sbox[183]  INVX1_413
INPUT_\sbox[184]  INVX1_396
INPUT_\sbox[185]  INVX1_402
INPUT_\sbox[186]  INVX1_408
INPUT_\sbox[187]  INVX1_414
INPUT_\sbox[188]  NAND3X1_257
INPUT_\sbox[189]  NAND3X1_266
INPUT_\sbox[190]  NAND3X1_275
INPUT_\sbox[191]  NAND3X1_284
INPUT_\sbox[192]  NAND3X1_222
INPUT_\sbox[193]  NAND3X1_231
INPUT_\sbox[194]  NAND3X1_240
INPUT_\sbox[195]  NAND3X1_249
INPUT_\sbox[196]  INVX1_369
INPUT_\sbox[197]  INVX1_375
INPUT_\sbox[198]  INVX1_381
INPUT_\sbox[199]  INVX1_387
INPUT_\sbox[200]  NAND2X1_222
INPUT_\sbox[201]  NAND2X1_226
INPUT_\sbox[202]  NAND2X1_228
INPUT_\sbox[203]  NAND2X1_230
INPUT_\sbox[204]  AOI22X1_55
INPUT_\sbox[205]  AOI22X1_56
INPUT_\sbox[206]  AOI22X1_57
INPUT_\sbox[207]  AOI22X1_58
INPUT_\sbox[208]  AOI22X1_55
INPUT_\sbox[209]  AOI22X1_56
INPUT_\sbox[210]  AOI22X1_57
INPUT_\sbox[211]  AOI22X1_58
INPUT_\sbox[212]  INVX1_365
INPUT_\sbox[213]  INVX1_371
INPUT_\sbox[214]  INVX1_377
INPUT_\sbox[215]  INVX1_383
INPUT_\sbox[216]  INVX1_366
INPUT_\sbox[217]  INVX1_372
INPUT_\sbox[218]  INVX1_378
INPUT_\sbox[219]  INVX1_384
INPUT_\sbox[220]  NAND3X1_224
INPUT_\sbox[221]  NAND3X1_233
INPUT_\sbox[222]  NAND3X1_242
INPUT_\sbox[223]  NAND3X1_251
INPUT_\sbox[224]  NAND2X1_225
INPUT_\sbox[225]  NAND2X1_227
INPUT_\sbox[226]  NAND2X1_229
INPUT_\sbox[227]  NAND2X1_231
INPUT_\sbox[228]  INVX1_360
INPUT_\sbox[229]  INVX1_370
INPUT_\sbox[230]  INVX1_376
INPUT_\sbox[231]  INVX1_382
INPUT_\sbox[232]  NAND3X1_218
INPUT_\sbox[233]  NAND3X1_227
INPUT_\sbox[234]  NAND3X1_236
INPUT_\sbox[235]  NAND3X1_245
INPUT_\sbox[236]  NAND3X1_220
INPUT_\sbox[237]  NAND3X1_229
INPUT_\sbox[238]  NAND3X1_238
INPUT_\sbox[239]  NAND3X1_247
INPUT_\sbox[240]  NAND3X1_219
INPUT_\sbox[241]  NAND3X1_228
INPUT_\sbox[242]  NAND3X1_237
INPUT_\sbox[243]  NAND3X1_246
INPUT_\sbox[244]  INVX1_367
INPUT_\sbox[245]  INVX1_373
INPUT_\sbox[246]  INVX1_379
INPUT_\sbox[247]  INVX1_385
INPUT_\sbox[248]  INVX1_368
INPUT_\sbox[249]  INVX1_374
INPUT_\sbox[250]  INVX1_380
INPUT_\sbox[251]  INVX1_386
INPUT_\sbox[252]  NAND3X1_221
INPUT_\sbox[253]  NAND3X1_230
INPUT_\sbox[254]  NAND3X1_239
INPUT_\sbox[255]  NAND3X1_248
INPUT_\sbox[256]  NAND3X1_186
INPUT_\sbox[257]  NAND3X1_195
INPUT_\sbox[258]  NAND3X1_204
INPUT_\sbox[259]  NAND3X1_213
INPUT_\sbox[260]  INVX1_341
INPUT_\sbox[261]  INVX1_347
INPUT_\sbox[262]  INVX1_353
INPUT_\sbox[263]  INVX1_359
INPUT_\sbox[264]  NAND2X1_204
INPUT_\sbox[265]  NAND2X1_208
INPUT_\sbox[266]  NAND2X1_210
INPUT_\sbox[267]  NAND2X1_212
INPUT_\sbox[268]  AOI22X1_51
INPUT_\sbox[269]  AOI22X1_52
INPUT_\sbox[270]  AOI22X1_53
INPUT_\sbox[271]  AOI22X1_54
INPUT_\sbox[272]  AOI22X1_51
INPUT_\sbox[273]  AOI22X1_52
INPUT_\sbox[274]  AOI22X1_53
INPUT_\sbox[275]  AOI22X1_54
INPUT_\sbox[276]  INVX1_337
INPUT_\sbox[277]  INVX1_343
INPUT_\sbox[278]  INVX1_349
INPUT_\sbox[279]  INVX1_355
INPUT_\sbox[280]  INVX1_338
INPUT_\sbox[281]  INVX1_344
INPUT_\sbox[282]  INVX1_350
INPUT_\sbox[283]  INVX1_356
INPUT_\sbox[284]  NAND3X1_188
INPUT_\sbox[285]  NAND3X1_197
INPUT_\sbox[286]  NAND3X1_206
INPUT_\sbox[287]  NAND3X1_215
INPUT_\sbox[288]  NAND2X1_207
INPUT_\sbox[289]  NAND2X1_209
INPUT_\sbox[290]  NAND2X1_211
INPUT_\sbox[291]  NAND2X1_213
INPUT_\sbox[292]  INVX1_332
INPUT_\sbox[293]  INVX1_342
INPUT_\sbox[294]  INVX1_348
INPUT_\sbox[295]  INVX1_354
INPUT_\sbox[296]  NAND3X1_182
INPUT_\sbox[297]  NAND3X1_191
INPUT_\sbox[298]  NAND3X1_200
INPUT_\sbox[299]  NAND3X1_209
INPUT_\sbox[300]  NAND3X1_184
INPUT_\sbox[301]  NAND3X1_193
INPUT_\sbox[302]  NAND3X1_202
INPUT_\sbox[303]  NAND3X1_211
INPUT_\sbox[304]  NAND3X1_183
INPUT_\sbox[305]  NAND3X1_192
INPUT_\sbox[306]  NAND3X1_201
INPUT_\sbox[307]  NAND3X1_210
INPUT_\sbox[308]  INVX1_339
INPUT_\sbox[309]  INVX1_345
INPUT_\sbox[310]  INVX1_351
INPUT_\sbox[311]  INVX1_357
INPUT_\sbox[312]  INVX1_340
INPUT_\sbox[313]  INVX1_346
INPUT_\sbox[314]  INVX1_352
INPUT_\sbox[315]  INVX1_358
INPUT_\sbox[316]  NAND3X1_185
INPUT_\sbox[317]  NAND3X1_194
INPUT_\sbox[318]  NAND3X1_203
INPUT_\sbox[319]  NAND3X1_212
INPUT_\sbox[320]  NAND3X1_150
INPUT_\sbox[321]  NAND3X1_159
INPUT_\sbox[322]  NAND3X1_168
INPUT_\sbox[323]  NAND3X1_177
INPUT_\sbox[324]  INVX1_313
INPUT_\sbox[325]  INVX1_319
INPUT_\sbox[326]  INVX1_325
INPUT_\sbox[327]  INVX1_331
INPUT_\sbox[328]  NAND2X1_186
INPUT_\sbox[329]  NAND2X1_190
INPUT_\sbox[330]  NAND2X1_192
INPUT_\sbox[331]  NAND2X1_194
INPUT_\sbox[332]  AOI22X1_47
INPUT_\sbox[333]  AOI22X1_48
INPUT_\sbox[334]  AOI22X1_49
INPUT_\sbox[335]  AOI22X1_50
INPUT_\sbox[336]  AOI22X1_47
INPUT_\sbox[337]  AOI22X1_48
INPUT_\sbox[338]  AOI22X1_49
INPUT_\sbox[339]  AOI22X1_50
INPUT_\sbox[340]  INVX1_309
INPUT_\sbox[341]  INVX1_315
INPUT_\sbox[342]  INVX1_321
INPUT_\sbox[343]  INVX1_327
INPUT_\sbox[344]  INVX1_310
INPUT_\sbox[345]  INVX1_316
INPUT_\sbox[346]  INVX1_322
INPUT_\sbox[347]  INVX1_328
INPUT_\sbox[348]  NAND3X1_152
INPUT_\sbox[349]  NAND3X1_161
INPUT_\sbox[350]  NAND3X1_170
INPUT_\sbox[351]  NAND3X1_179
INPUT_\sbox[352]  NAND2X1_189
INPUT_\sbox[353]  NAND2X1_191
INPUT_\sbox[354]  NAND2X1_193
INPUT_\sbox[355]  NAND2X1_195
INPUT_\sbox[356]  INVX1_304
INPUT_\sbox[357]  INVX1_314
INPUT_\sbox[358]  INVX1_320
INPUT_\sbox[359]  INVX1_326
INPUT_\sbox[360]  NAND3X1_146
INPUT_\sbox[361]  NAND3X1_155
INPUT_\sbox[362]  NAND3X1_164
INPUT_\sbox[363]  NAND3X1_173
INPUT_\sbox[364]  NAND3X1_148
INPUT_\sbox[365]  NAND3X1_157
INPUT_\sbox[366]  NAND3X1_166
INPUT_\sbox[367]  NAND3X1_175
INPUT_\sbox[368]  NAND3X1_147
INPUT_\sbox[369]  NAND3X1_156
INPUT_\sbox[370]  NAND3X1_165
INPUT_\sbox[371]  NAND3X1_174
INPUT_\sbox[372]  INVX1_311
INPUT_\sbox[373]  INVX1_317
INPUT_\sbox[374]  INVX1_323
INPUT_\sbox[375]  INVX1_329
INPUT_\sbox[376]  INVX1_312
INPUT_\sbox[377]  INVX1_318
INPUT_\sbox[378]  INVX1_324
INPUT_\sbox[379]  INVX1_330
INPUT_\sbox[380]  NAND3X1_149
INPUT_\sbox[381]  NAND3X1_158
INPUT_\sbox[382]  NAND3X1_167
INPUT_\sbox[383]  NAND3X1_176
INPUT_\sbox[384]  NAND3X1_114
INPUT_\sbox[385]  NAND3X1_123
INPUT_\sbox[386]  NAND3X1_132
INPUT_\sbox[387]  NAND3X1_141
INPUT_\sbox[388]  INVX1_285
INPUT_\sbox[389]  INVX1_291
INPUT_\sbox[390]  INVX1_297
INPUT_\sbox[391]  INVX1_303
INPUT_\sbox[392]  NAND2X1_168
INPUT_\sbox[393]  NAND2X1_172
INPUT_\sbox[394]  NAND2X1_174
INPUT_\sbox[395]  NAND2X1_176
INPUT_\sbox[396]  AOI22X1_43
INPUT_\sbox[397]  AOI22X1_44
INPUT_\sbox[398]  AOI22X1_45
INPUT_\sbox[399]  AOI22X1_46
INPUT_\sbox[400]  AOI22X1_43
INPUT_\sbox[401]  AOI22X1_44
INPUT_\sbox[402]  AOI22X1_45
INPUT_\sbox[403]  AOI22X1_46
INPUT_\sbox[404]  INVX1_281
INPUT_\sbox[405]  INVX1_287
