#/Users/anjalisarawgi/anaconda3/envs/gnn_parsing/bin/verilog2graph tum-eisec-benchmarks-main/netlist/des_latest/verilog/nangate/des3.v --output_format txt --do-not-zip -o adjlist/des_latest/nangate/des3 -l lib/NangateOpenCellLibrary_functional.lib
# GMT Tue Nov 25 13:21:57 2025
# 
INPUT_\desIn[0]  NAND2_X1_8
INPUT_\key1[14]  INV_X1_64
INPUT_\key1[15]  INV_X1_95
INPUT_\key1[16]  INV_X1_84
INPUT_\key1[17]  INV_X1_129
INPUT_\key1[18]  INV_X1_121
INPUT_\key1[19]  INV_X1_161
INPUT_\key1[20]  INV_X1_141
INPUT_\key1[21]  INV_X1_80
INPUT_\key1[22]  INV_X1_78
INPUT_\key1[23]  INV_X1_93
INPUT_\key1[24]  INV_X1_151
INPUT_\key1[25]  INV_X1_165
INPUT_\key1[26]  INV_X1_115
INPUT_\key1[27]  INV_X1_123
INPUT_\key1[28]  INV_X1_82
INPUT_\key1[29]  INV_X1_111
INPUT_\key1[30]  INV_X1_57
INPUT_\key1[31]  INV_X1_76
INPUT_\key1[32]  INV_X1_117
INPUT_\key1[33]  INV_X1_149
INPUT_\key1[34]  INV_X1_167
INPUT_\key1[35]  INV_X1_62
INPUT_\key1[36]  INV_X1_55
INPUT_\key1[37]  INV_X1_103
INPUT_\key1[38]  INV_X1_91
INPUT_\key1[39]  INV_X1_157
INPUT_\key1[40]  INV_X1_119
INPUT_\key1[41]  INV_X1_127
INPUT_\key1[42]  INV_X1_97
INPUT_\key1[43]  INV_X1_105
INPUT_\key1[44]  INV_X1_50
INPUT_\key1[45]  INV_X1_71
INPUT_\key1[46]  INV_X1_137
INPUT_\key1[47]  INV_X1_147
INPUT_\key1[48]  INV_X1_155
INPUT_\key1[49]  INV_X1_68
INPUT_\key1[50]  INV_X1_60
INPUT_\key1[51]  INV_X1_99
INPUT_\key1[52]  INV_X1_106
INPUT_\key1[53]  INV_X1_159
INPUT_\key1[54]  INV_X1_145
INPUT_\key1[55]  INV_X1_131
INPUT_\key2[0]  NAND3_X1_82
INPUT_\key2[1]  NAND3_X1_98
INPUT_\key2[2]  NAND3_X1_104
INPUT_\key2[3]  NAND3_X1_114
INPUT_\key2[4]  NAND3_X1_119
INPUT_\key2[5]  NAND3_X1_124
INPUT_\key2[6]  NAND3_X1_110
INPUT_\key2[7]  NAND3_X1_102
INPUT_\key2[8]  NAND3_X1_85
INPUT_\key2[9]  NAND3_X1_91
INPUT_\key2[10]  NAND3_X1_129
INPUT_\key2[11]  NAND3_X1_132
INPUT_\key2[12]  NAND3_X1_115
INPUT_\key2[13]  NAND3_X1_117
INPUT_\key2[14]  NAND3_X1_81
INPUT_\key2[15]  NAND3_X1_95
INPUT_\key2[16]  NAND3_X1_90
INPUT_\key2[17]  NAND3_X1_112
INPUT_\key2[18]  NAND3_X1_108
INPUT_\key2[19]  NAND3_X1_128
INPUT_\key2[20]  NAND3_X1_118
INPUT_\key2[21]  NAND3_X1_88
INPUT_\key2[22]  NAND3_X1_87
INPUT_\key2[23]  NAND3_X1_94
INPUT_\key2[24]  NAND3_X1_123
INPUT_\key2[25]  NAND3_X1_130
INPUT_\key2[26]  NAND3_X1_105
INPUT_\key2[27]  NAND3_X1_109
INPUT_\key2[28]  NAND3_X1_89
INPUT_\key2[29]  NAND3_X1_103
INPUT_\key2[30]  NAND3_X1_76
INPUT_\key2[31]  NAND3_X1_86
INPUT_\key2[32]  NAND3_X1_106
INPUT_\key2[33]  NAND3_X1_122
INPUT_\key2[34]  NAND3_X1_131
INPUT_\key2[35]  NAND3_X1_80
INPUT_\key2[36]  NAND3_X1_75
INPUT_\key2[37]  NAND3_X1_99
INPUT_\key2[38]  NAND3_X1_93
INPUT_\key2[39]  NAND3_X1_126
INPUT_\key2[40]  NAND3_X1_107
INPUT_\key2[41]  NAND3_X1_111
INPUT_\key2[42]  NAND3_X1_96
INPUT_\key2[43]  NAND3_X1_100
INPUT_\key2[44]  NAND3_X1_74
INPUT_\key2[45]  NAND3_X1_84
INPUT_\key2[46]  NAND3_X1_116
INPUT_\key2[47]  NAND3_X1_121
INPUT_\key2[48]  NAND3_X1_125
INPUT_\key2[49]  NAND3_X1_83
INPUT_\key2[50]  NAND3_X1_77
INPUT_\key2[51]  NAND3_X1_97
INPUT_\key2[52]  NAND3_X1_101
INPUT_\key2[53]  NAND3_X1_127
INPUT_\key2[54]  NAND3_X1_120
INPUT_\key2[55]  NAND3_X1_113
INPUT_\key3[0]  INV_X1_65
INPUT_\key3[1]  INV_X1_100
INPUT_\key3[2]  INV_X1_112
INPUT_\key3[3]  INV_X1_132
INPUT_\key3[4]  INV_X1_142
INPUT_\key3[5]  INV_X1_152
INPUT_\key3[6]  INV_X1_124
INPUT_\key3[7]  INV_X1_109
INPUT_\key3[8]  INV_X1_73
INPUT_\key3[9]  INV_X1_85
INPUT_\key3[10]  INV_X1_162
INPUT_\key3[11]  INV_X1_168
INPUT_\key3[12]  INV_X1_134
INPUT_\key3[13]  INV_X1_138
INPUT_\key3[14]  INV_X1_63
INPUT_\key3[15]  INV_X1_94
INPUT_\key3[16]  INV_X1_83
INPUT_\key3[17]  INV_X1_128
INPUT_\key3[18]  INV_X1_120
INPUT_\key3[19]  INV_X1_160
INPUT_\key3[20]  INV_X1_140
INPUT_\key3[21]  INV_X1_79
INPUT_\key3[22]  INV_X1_77
INPUT_\key3[23]  INV_X1_92
INPUT_\key3[24]  INV_X1_150
INPUT_\key3[25]  INV_X1_164
INPUT_\key3[26]  INV_X1_114
INPUT_\key3[27]  INV_X1_122
INPUT_\key3[28]  INV_X1_81
INPUT_\key3[29]  INV_X1_110
INPUT_\key3[30]  INV_X1_56
INPUT_\key3[31]  INV_X1_75
INPUT_\key3[32]  INV_X1_116
INPUT_\key3[33]  INV_X1_148
INPUT_\key3[34]  INV_X1_166
INPUT_\key3[35]  INV_X1_61
INPUT_\key3[36]  INV_X1_54
INPUT_\key3[37]  INV_X1_102
INPUT_\key3[38]  INV_X1_90
INPUT_\key3[39]  INV_X1_156
INPUT_\key3[40]  INV_X1_118
INPUT_\key3[41]  INV_X1_126
INPUT_\key3[42]  INV_X1_96
INPUT_\key3[43]  INV_X1_104
INPUT_\key3[44]  INV_X1_49
INPUT_\key3[45]  INV_X1_70
INPUT_\key3[46]  INV_X1_136
INPUT_\key3[47]  INV_X1_146
INPUT_\key3[48]  INV_X1_154
INPUT_\key3[49]  INV_X1_67
INPUT_\key3[50]  INV_X1_59
INPUT_\key3[51]  INV_X1_98
INPUT_\key3[52]  INV_X1_107
INPUT_\key3[53]  INV_X1_158
INPUT_\key3[54]  INV_X1_144
INPUT_\key3[55]  INV_X1_130
INPUT_decrypt XNOR2_X1_3 XNOR2_X1_4 XOR2_X1_82
INPUT_\roundSel[0]  OR4_X1_1 INV_X1_53 NOR2_X1_70 NAND2_X1_108 NOR2_X1_88 NOR3_X1_45 NAND2_X1_114
INPUT_\roundSel[1]  OR4_X1_1 NOR2_X1_67 INV_X1_58 NAND2_X1_108 NOR2_X1_88 NOR3_X1_45 NAND2_X1_116
INPUT_\roundSel[2]  OR4_X1_1 INV_X1_52 NOR2_X1_77 NAND2_X1_105 NOR3_X1_43 NAND2_X1_117 NOR3_X1_396 NOR3_X1_594
INPUT_\roundSel[3]  OR4_X1_1 NOR2_X1_66 NAND3_X1_78 NAND3_X1_79 NOR2_X1_77 NAND2_X1_105 NAND3_X1_92 INV_X1_87
INPUT_\roundSel[4]  NOR3_X1_1 XNOR2_X1_1 INV_X1_48 NAND3_X1_74 MUX2_X1_98 NAND3_X1_75 NAND3_X1_76 NAND3_X1_77 NAND3_X1_80 NAND3_X1_81 NAND3_X1_82 NAND3_X1_83 NAND3_X1_84 NAND3_X1_85 NAND3_X1_86 NAND3_X1_87 NAND3_X1_88 NAND3_X1_89 NAND3_X1_90 NAND3_X1_91 NAND3_X1_93 NAND3_X1_94 NAND3_X1_95 NAND3_X1_96 NAND3_X1_97 NAND3_X1_98 NAND3_X1_99 NAND3_X1_100 NAND3_X1_101 NAND3_X1_102 NAND3_X1_103 NAND3_X1_104 NAND3_X1_105 NAND3_X1_106 NAND3_X1_107 NAND3_X1_108 NAND3_X1_109 NAND3_X1_110 NAND3_X1_111 NAND3_X1_112 NAND3_X1_113 NAND3_X1_114 NAND3_X1_115 NAND3_X1_116 NAND3_X1_117 NAND3_X1_118 NAND3_X1_119 NAND3_X1_120 NAND3_X1_121 NAND3_X1_122 NAND3_X1_123 NAND3_X1_124 NAND3_X1_125 NAND3_X1_126 NAND3_X1_127 NAND3_X1_128 NAND3_X1_129 NAND3_X1_130 NAND3_X1_131 NAND3_X1_132
INPUT_\roundSel[5]  NOR3_X1_1 XNOR2_X1_1 NOR2_X1_64 INV_X1_51 XNOR2_X1_4
INPUT_clk DFF_X1_1 DFF_X1_2 DFF_X1_3 DFF_X1_4 DFF_X1_5 DFF_X1_6 DFF_X1_7 DFF_X1_8 DFF_X1_9 DFF_X1_10 DFF_X1_11 DFF_X1_12 DFF_X1_13 DFF_X1_14 DFF_X1_15 DFF_X1_16 DFF_X1_17 DFF_X1_18 DFF_X1_19 DFF_X1_20 DFF_X1_21 DFF_X1_22 DFF_X1_23 DFF_X1_24 DFF_X1_25 DFF_X1_26 DFF_X1_27 DFF_X1_28 DFF_X1_29 DFF_X1_30 DFF_X1_31 DFF_X1_32 DFF_X1_33 DFF_X1_34 DFF_X1_35 DFF_X1_36 DFF_X1_37 DFF_X1_38 DFF_X1_39 DFF_X1_40 DFF_X1_41 DFF_X1_42 DFF_X1_43 DFF_X1_44 DFF_X1_45 DFF_X1_46 DFF_X1_47 DFF_X1_48 DFF_X1_49 DFF_X1_50 DFF_X1_51 DFF_X1_52 DFF_X1_53 DFF_X1_54 DFF_X1_55 DFF_X1_56 DFF_X1_57 DFF_X1_58 DFF_X1_59 DFF_X1_60 DFF_X1_61 DFF_X1_62 DFF_X1_63 DFF_X1_64
OUTPUT_\desOut[0] 
OUTPUT_\desOut[1] 
OUTPUT_\desOut[2] 
OUTPUT_\desOut[3] 
OUTPUT_\desOut[4] 
OUTPUT_\desOut[5] 
OUTPUT_\desOut[6] 
OUTPUT_\desOut[7] 
OUTPUT_\desOut[8] 
OUTPUT_\desOut[9] 
OUTPUT_\desOut[10] 
OUTPUT_\desOut[11] 
OUTPUT_\desOut[12] 
OUTPUT_\desOut[13] 
OUTPUT_\desOut[14] 
OUTPUT_\desOut[15] 
OUTPUT_\desOut[16] 
OUTPUT_\desOut[17] 
OUTPUT_\desOut[18] 
OUTPUT_\desOut[19] 
OUTPUT_\desOut[20] 
OUTPUT_\desOut[21] 
OUTPUT_\desOut[22] 
OUTPUT_\desOut[23] 
OUTPUT_\desOut[24] 
OUTPUT_\desOut[25] 
OUTPUT_\desOut[26] 
OUTPUT_\desOut[27] 
OUTPUT_\desOut[28] 
OUTPUT_\desOut[29] 
OUTPUT_\desOut[30] 
OUTPUT_\desOut[31] 
OUTPUT_\desOut[32] 
OUTPUT_\desOut[33] 
OUTPUT_\desOut[34] 
OUTPUT_\desOut[35] 
OUTPUT_\desOut[36] 
OUTPUT_\desOut[37] 
OUTPUT_\desOut[38] 
OUTPUT_\desOut[39] 
OUTPUT_\desOut[40] 
OUTPUT_\desOut[41] 
OUTPUT_\desOut[42] 
OUTPUT_\desOut[43] 
OUTPUT_\desOut[44] 
OUTPUT_\desOut[45] 
OUTPUT_\desOut[46] 
OUTPUT_\desOut[47] 
OUTPUT_\desOut[48] 
OUTPUT_\desOut[49] 
OUTPUT_\desOut[50] 
OUTPUT_\desOut[51] 
OUTPUT_\desOut[52] 
OUTPUT_\desOut[53] 
OUTPUT_\desOut[54] 
OUTPUT_\desOut[55] 
OUTPUT_\desOut[56] 
OUTPUT_\desOut[57] 
OUTPUT_\desOut[58] 
OUTPUT_\desOut[59] 
OUTPUT_\desOut[60] 
OUTPUT_\desOut[61] 
OUTPUT_\desOut[62] 
OUTPUT_\desOut[63] 
OR4_X1_1 NOR3_X1_1 OR2_X1_1 NOR2_X1_1
NOR3_X1_1 MUX2_X1_2 MUX2_X1_4 MUX2_X1_6 MUX2_X1_8 MUX2_X1_10 MUX2_X1_12 MUX2_X1_14 MUX2_X1_16 MUX2_X1_18 MUX2_X1_20 MUX2_X1_22 MUX2_X1_24 MUX2_X1_26 MUX2_X1_28 MUX2_X1_30 MUX2_X1_32 MUX2_X1_34 MUX2_X1_36 MUX2_X1_38 MUX2_X1_40 MUX2_X1_42 MUX2_X1_44 MUX2_X1_46 MUX2_X1_48 MUX2_X1_50 MUX2_X1_52 MUX2_X1_54 MUX2_X1_56 MUX2_X1_58 MUX2_X1_60 MUX2_X1_62 MUX2_X1_64 NAND2_X1_1 OAI21_X1_1 NAND2_X1_2 OAI21_X1_2 NAND2_X1_3 OAI21_X1_3 NAND2_X1_4 OAI21_X1_4 NAND2_X1_5 OAI21_X1_5 NAND2_X1_6 OAI21_X1_6 NAND2_X1_7 OAI21_X1_7 NAND2_X1_8 OAI21_X1_8 NAND2_X1_9 OAI21_X1_9 NAND2_X1_10 OAI21_X1_10 NAND2_X1_11 OAI21_X1_11 NAND2_X1_12 OAI21_X1_12 NAND2_X1_13 OAI21_X1_13 NAND2_X1_14 OAI21_X1_14 NAND2_X1_15 OAI21_X1_15 NAND2_X1_16 OAI21_X1_16 NAND2_X1_17 OAI21_X1_17 NAND2_X1_18 OAI21_X1_18 NAND2_X1_19 OAI21_X1_19 NAND2_X1_20 OAI21_X1_20 NAND2_X1_21 OAI21_X1_21 NAND2_X1_22 OAI21_X1_22 NAND2_X1_23 OAI21_X1_23 NAND2_X1_24 OAI21_X1_24 NAND2_X1_25 OAI21_X1_25 NAND2_X1_26 OAI21_X1_26 NAND2_X1_27 OAI21_X1_27 NAND2_X1_28 OAI21_X1_28 NAND2_X1_29 OAI21_X1_29 NAND2_X1_30 OAI21_X1_30 NAND2_X1_31 OAI21_X1_31 NAND2_X1_32 OAI21_X1_32
XNOR2_X1_1 OR2_X1_1 NOR2_X1_1
OR2_X1_1 MUX2_X1_1 MUX2_X1_3 MUX2_X1_5 MUX2_X1_7 MUX2_X1_9 MUX2_X1_11 MUX2_X1_13 MUX2_X1_15 MUX2_X1_17 MUX2_X1_19 MUX2_X1_21 MUX2_X1_23 MUX2_X1_25 MUX2_X1_27 MUX2_X1_29 MUX2_X1_31 MUX2_X1_33 MUX2_X1_35 MUX2_X1_37 MUX2_X1_39 MUX2_X1_41 MUX2_X1_43 MUX2_X1_45 MUX2_X1_47 MUX2_X1_49 MUX2_X1_51 MUX2_X1_53 MUX2_X1_55 MUX2_X1_57 MUX2_X1_59 MUX2_X1_61 MUX2_X1_63
MUX2_X1_1 MUX2_X1_2
MUX2_X1_2 OUTPUT_\desOut[57]  DFF_X1_12 XOR2_X1_34 XOR2_X1_80
MUX2_X1_3 MUX2_X1_4
MUX2_X1_4 OUTPUT_\desOut[49]  DFF_X1_13 XOR2_X1_35
MUX2_X1_5 MUX2_X1_6
MUX2_X1_6 OUTPUT_\desOut[41]  DFF_X1_14 XOR2_X1_36
MUX2_X1_7 MUX2_X1_8
MUX2_X1_8 OUTPUT_\desOut[33]  DFF_X1_15 XOR2_X1_37 XOR2_X1_39
MUX2_X1_9 MUX2_X1_10
MUX2_X1_10 OUTPUT_\desOut[25]  DFF_X1_16 XOR2_X1_38 XOR2_X1_40
MUX2_X1_11 MUX2_X1_12
MUX2_X1_12 OUTPUT_\desOut[17]  DFF_X1_17 XOR2_X1_41
MUX2_X1_13 MUX2_X1_14
MUX2_X1_14 OUTPUT_\desOut[9]  DFF_X1_18 XOR2_X1_42
MUX2_X1_15 MUX2_X1_16
MUX2_X1_16 OUTPUT_\desOut[1]  DFF_X1_19 XOR2_X1_43 XOR2_X1_45
MUX2_X1_17 MUX2_X1_18
MUX2_X1_18 OUTPUT_\desOut[59]  DFF_X1_20 XOR2_X1_44 XOR2_X1_46
MUX2_X1_19 MUX2_X1_20
MUX2_X1_20 OUTPUT_\desOut[51]  DFF_X1_21 XOR2_X1_47
MUX2_X1_21 MUX2_X1_22
MUX2_X1_22 OUTPUT_\desOut[43]  DFF_X1_22 XOR2_X1_48
MUX2_X1_23 MUX2_X1_24
MUX2_X1_24 OUTPUT_\desOut[35]  DFF_X1_23 XOR2_X1_49 XOR2_X1_51
MUX2_X1_25 MUX2_X1_26
MUX2_X1_26 OUTPUT_\desOut[27]  DFF_X1_24 XOR2_X1_50 XOR2_X1_52
MUX2_X1_27 MUX2_X1_28
MUX2_X1_28 OUTPUT_\desOut[19]  DFF_X1_25 XOR2_X1_53
MUX2_X1_29 MUX2_X1_30
MUX2_X1_30 OUTPUT_\desOut[11]  DFF_X1_26 XOR2_X1_54
MUX2_X1_31 MUX2_X1_32
MUX2_X1_32 OUTPUT_\desOut[3]  DFF_X1_27 XOR2_X1_55 XOR2_X1_57
MUX2_X1_33 MUX2_X1_34
MUX2_X1_34 OUTPUT_\desOut[61]  DFF_X1_28 XOR2_X1_56 XOR2_X1_58
MUX2_X1_35 MUX2_X1_36
MUX2_X1_36 OUTPUT_\desOut[53]  DFF_X1_29 XOR2_X1_59
MUX2_X1_37 MUX2_X1_38
MUX2_X1_38 OUTPUT_\desOut[45]  DFF_X1_30 XOR2_X1_60
MUX2_X1_39 MUX2_X1_40
MUX2_X1_40 OUTPUT_\desOut[37]  DFF_X1_31 XOR2_X1_61 XOR2_X1_63
MUX2_X1_41 MUX2_X1_42
MUX2_X1_42 OUTPUT_\desOut[29]  DFF_X1_32 XOR2_X1_62 XOR2_X1_64
MUX2_X1_43 MUX2_X1_44
MUX2_X1_44 OUTPUT_\desOut[21]  DFF_X1_33 XOR2_X1_65
MUX2_X1_45 MUX2_X1_46
MUX2_X1_46 OUTPUT_\desOut[13]  DFF_X1_34 XOR2_X1_66
MUX2_X1_47 MUX2_X1_48
MUX2_X1_48 OUTPUT_\desOut[5]  DFF_X1_35 XOR2_X1_67 XOR2_X1_69
MUX2_X1_49 MUX2_X1_50
MUX2_X1_50 OUTPUT_\desOut[63]  DFF_X1_36 XOR2_X1_68 XOR2_X1_70
MUX2_X1_51 MUX2_X1_52
MUX2_X1_52 OUTPUT_\desOut[55]  DFF_X1_37 XOR2_X1_71
MUX2_X1_53 MUX2_X1_54
MUX2_X1_54 OUTPUT_\desOut[47]  DFF_X1_38 XOR2_X1_72
MUX2_X1_55 MUX2_X1_56
MUX2_X1_56 OUTPUT_\desOut[39]  DFF_X1_39 XOR2_X1_73 XOR2_X1_75
MUX2_X1_57 MUX2_X1_58
MUX2_X1_58 OUTPUT_\desOut[31]  DFF_X1_40 XOR2_X1_74 XOR2_X1_76
MUX2_X1_59 MUX2_X1_60
MUX2_X1_60 OUTPUT_\desOut[23]  DFF_X1_41 XOR2_X1_77
MUX2_X1_61 MUX2_X1_62
MUX2_X1_62 OUTPUT_\desOut[15]  DFF_X1_42 XOR2_X1_78
MUX2_X1_63 MUX2_X1_64
MUX2_X1_64 OUTPUT_\desOut[7]  DFF_X1_43 XOR2_X1_33 XOR2_X1_79
NOR2_X1_1 MUX2_X1_65 MUX2_X1_66 MUX2_X1_67 MUX2_X1_68 MUX2_X1_69 MUX2_X1_70 MUX2_X1_71 MUX2_X1_72 MUX2_X1_73 MUX2_X1_74 MUX2_X1_75 MUX2_X1_76 MUX2_X1_77 MUX2_X1_78 MUX2_X1_79 MUX2_X1_80 MUX2_X1_81 MUX2_X1_82 MUX2_X1_83 MUX2_X1_84 MUX2_X1_85 MUX2_X1_86 MUX2_X1_87 MUX2_X1_88 MUX2_X1_89 MUX2_X1_90 MUX2_X1_91 MUX2_X1_92 MUX2_X1_93 MUX2_X1_94 MUX2_X1_95 MUX2_X1_96
MUX2_X1_65 OAI21_X1_1
NAND2_X1_1 OAI21_X1_1
OAI21_X1_1 XOR2_X1_1
XOR2_X1_1 OUTPUT_\desOut[56]  DFF_X1_44
MUX2_X1_66 OAI21_X1_2
NAND2_X1_2 OAI21_X1_2
OAI21_X1_2 XOR2_X1_2
XOR2_X1_2 OUTPUT_\desOut[48]  DFF_X1_45
MUX2_X1_67 OAI21_X1_3
NAND2_X1_3 OAI21_X1_3
OAI21_X1_3 XOR2_X1_3
XOR2_X1_3 OUTPUT_\desOut[40]  DFF_X1_46
MUX2_X1_68 OAI21_X1_4
NAND2_X1_4 OAI21_X1_4
OAI21_X1_4 XOR2_X1_4
XOR2_X1_4 OUTPUT_\desOut[32]  DFF_X1_47
MUX2_X1_69 OAI21_X1_5
NAND2_X1_5 OAI21_X1_5
OAI21_X1_5 XOR2_X1_5
XOR2_X1_5 OUTPUT_\desOut[24]  DFF_X1_48
MUX2_X1_70 OAI21_X1_6
NAND2_X1_6 OAI21_X1_6
OAI21_X1_6 XOR2_X1_6
XOR2_X1_6 OUTPUT_\desOut[16]  DFF_X1_49
MUX2_X1_71 OAI21_X1_7
NAND2_X1_7 OAI21_X1_7
OAI21_X1_7 XOR2_X1_7
XOR2_X1_7 OUTPUT_\desOut[8]  DFF_X1_50
MUX2_X1_72 OAI21_X1_8
NAND2_X1_8 OAI21_X1_8
OAI21_X1_8 XOR2_X1_8
XOR2_X1_8 OUTPUT_\desOut[0]  DFF_X1_51
MUX2_X1_73 OAI21_X1_9
NAND2_X1_9 OAI21_X1_9
OAI21_X1_9 XOR2_X1_9
XOR2_X1_9 OUTPUT_\desOut[58]  DFF_X1_52
MUX2_X1_74 OAI21_X1_10
NAND2_X1_10 OAI21_X1_10
OAI21_X1_10 XOR2_X1_10
XOR2_X1_10 OUTPUT_\desOut[50]  DFF_X1_53
MUX2_X1_75 OAI21_X1_11
NAND2_X1_11 OAI21_X1_11
OAI21_X1_11 XOR2_X1_11
XOR2_X1_11 OUTPUT_\desOut[42]  DFF_X1_54
MUX2_X1_76 OAI21_X1_12
NAND2_X1_12 OAI21_X1_12
OAI21_X1_12 XOR2_X1_12
XOR2_X1_12 OUTPUT_\desOut[34]  DFF_X1_55
MUX2_X1_77 OAI21_X1_13
NAND2_X1_13 OAI21_X1_13
OAI21_X1_13 XOR2_X1_13
XOR2_X1_13 OUTPUT_\desOut[26]  DFF_X1_56
MUX2_X1_78 OAI21_X1_14
NAND2_X1_14 OAI21_X1_14
OAI21_X1_14 XOR2_X1_14
XOR2_X1_14 OUTPUT_\desOut[18]  DFF_X1_57
MUX2_X1_79 OAI21_X1_15
NAND2_X1_15 OAI21_X1_15
OAI21_X1_15 XOR2_X1_15
XOR2_X1_15 OUTPUT_\desOut[10]  DFF_X1_58
MUX2_X1_80 OAI21_X1_16
NAND2_X1_16 OAI21_X1_16
OAI21_X1_16 XOR2_X1_16
XOR2_X1_16 OUTPUT_\desOut[2]  DFF_X1_59
MUX2_X1_81 OAI21_X1_17
NAND2_X1_17 OAI21_X1_17
OAI21_X1_17 XOR2_X1_17
XOR2_X1_17 OUTPUT_\desOut[60]  DFF_X1_60
MUX2_X1_82 OAI21_X1_18
NAND2_X1_18 OAI21_X1_18
OAI21_X1_18 XOR2_X1_18
XOR2_X1_18 OUTPUT_\desOut[52]  DFF_X1_61
MUX2_X1_83 OAI21_X1_19
NAND2_X1_19 OAI21_X1_19
OAI21_X1_19 XOR2_X1_19
XOR2_X1_19 OUTPUT_\desOut[44]  DFF_X1_62
MUX2_X1_84 OAI21_X1_20
NAND2_X1_20 OAI21_X1_20
OAI21_X1_20 XOR2_X1_20
XOR2_X1_20 OUTPUT_\desOut[36]  DFF_X1_63
MUX2_X1_85 OAI21_X1_21
NAND2_X1_21 OAI21_X1_21
OAI21_X1_21 XOR2_X1_21
XOR2_X1_21 OUTPUT_\desOut[28]  DFF_X1_64
MUX2_X1_86 OAI21_X1_22
NAND2_X1_22 OAI21_X1_22
OAI21_X1_22 XOR2_X1_22
XOR2_X1_22 OUTPUT_\desOut[20]  DFF_X1_1
MUX2_X1_87 OAI21_X1_23
NAND2_X1_23 OAI21_X1_23
OAI21_X1_23 XOR2_X1_23
